Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	6/117	2.839945618912826E-5	0.01584359391962399	0	0	11.259174964438122	117.87388530641616	ZFP36;CXCL8;SERPINE1;PDE4B;CCL2;CXCL5
Cellular Response To Lipopolysaccharide (GO:0071222)	6/124	3.941192517319401E-5	0.01584359391962399	0	0	10.587511150758251	107.37263150999551	ZFP36;CXCL8;SERPINE1;PDE4B;CCL2;CXCL5
Response To Fibroblast Growth Factor (GO:0071774)	3/20	1.338684386601915E-4	0.025447289520713894	0	0	35.801920768307326	319.30490954604386	NR4A1;ZFP36;CXCL8
Response To Lipopolysaccharide (GO:0032496)	6/159	1.5621658034516324E-4	0.025447289520713894	0	0	8.15108359133127	71.43827438476573	ZFP36;CXCL8;SERPINE1;PDE4B;CCL2;CXCL5
Cellular Response To Lipid (GO:0071396)	7/228	1.5825428806414112E-4	0.025447289520713894	0	0	6.630692211418118	58.02722582045499	ZFP36;LTK;CXCL8;SERPINE1;PDE4B;CCL2;CXCL5
Striated Muscle Hypertrophy (GO:0014897)	2/5	2.5001339821213557E-4	0.03350179536042617	0	0	133.97979797979798	1111.227915048666	RYR2;TCAP
Neutrophil Chemotaxis (GO:0030593)	4/70	4.350082765454803E-4	0.03812244308398902	0	0	12.391752577319588	95.91396795483857	CXCL8;PDE4B;CCL2;CXCL5
Granulocyte Chemotaxis (GO:0071621)	4/73	5.104530730995647E-4	0.03812244308398902	0	0	11.851187808157777	89.83451423620015	CXCL8;PDE4B;CCL2;CXCL5
Cardiac Muscle Hypertrophy (GO:0003300)	2/7	5.215757138356707E-4	0.03812244308398902	0	0	80.37979797979798	607.5632510670082	RYR2;TCAP
Cellular Response To Epinephrine Stimulus (GO:0071872)	2/7	5.215757138356707E-4	0.03812244308398902	0	0	80.37979797979798	607.5632510670082	RYR2;PDE4B
Response To Epinephrine (GO:0071871)	2/7	5.215757138356707E-4	0.03812244308398902	0	0	80.37979797979798	607.5632510670082	RYR2;PDE4B
Cardiac Muscle Contraction (GO:0060048)	3/33	6.108899102077041E-4	0.03865096719180008	0	0	20.274489795918367	150.04326337478298	MYLK2;RYR2;TCAP
Neutrophil Migration (GO:1990266)	4/77	6.24953449618658E-4	0.03865096719180008	0	0	11.19954808642847	82.62839984301442	CXCL8;PDE4B;CCL2;CXCL5
Regulation Of Actin Filament-Based Movement (GO:1903115)	2/9	8.882530928951148E-4	0.047610365779178154	0	0	57.40836940836941	403.36577606451834	MYLK2;PDE4B
Regulation Of Cellular Extravasation (GO:0002691)	2/9	8.882530928951148E-4	0.047610365779178154	0	0	57.40836940836941	403.36577606451834	OLFM4;ICAM1
Cellular Response To Oxygen-Containing Compound (GO:1901701)	8/406	0.001051114778264099	0.04948909876164503	0	0	4.214837629005241	28.904951769663207	ZFP36;JUN;LTK;CXCL8;SERPINE1;PDE4B;CCL2;CXCL5
Cellular Response To Growth Factor Stimulus (GO:0071363)	5/155	0.001141682308580725	0.04948909876164503	0	0	6.857291666666667	46.45988178836805	NR4A1;ZFP36;CXCL8;CCL2;BMP6
