Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BMP Binding (GO:0036122)	3/15	5.4419444780730755E-5	0.00870711116491692	0	0	50.732142857142854	498.1282076093618	TCAP;CHRDL1;GDF5
Cytokine Activity (GO:0005125)	6/178	2.876916063615197E-4	0.023015328508921577	0	0	7.243696450428397	59.06235884822853	CXCL8;LIF;CCL2;GDF5;BMP6;CXCL5
Chemokine Activity (GO:0008009)	3/46	0.0016208060079978708	0.05786777291568277	0	0	14.135738016136687	90.81973795870034	CXCL8;CCL2;CXCL5
3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)	2/13	0.0018993569194187185	0.05786777291568277	0	0	36.525252525252526	228.8759952267877	PDE1C;PDE4B
Chemokine Receptor Binding (GO:0042379)	3/50	0.002062430760327193	0.05786777291568277	0	0	12.930091185410335	79.95800312185176	CXCL8;CCL2;CXCL5
Protein Heterodimerization Activity (GO:0046982)	5/190	0.0027848902529128625	0.05786777291568277	0	0	5.550112612612613	32.65434737302778	NR4A1;BHLHE40;BDKRB2;ATF3;BMP6
3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)	2/16	0.0028933886457841386	0.05786777291568277	0	0	28.694083694083695	167.726299917835	PDE1C;PDE4B
CXCR Chemokine Receptor Binding (GO:0045236)	2/16	0.0028933886457841386	0.05786777291568277	0	0	28.694083694083695	167.726299917835	CXCL8;CXCL5
Chemokine Binding (GO:0019956)	2/17	0.0032684109262669566	0.058105083133634786	0	0	26.77979797979798	153.27287136771164	ZFP36;PLP2
Calmodulin-Dependent Protein Kinase Activity (GO:0004683)	2/23	0.0059615984087423605	0.09538557453987777	0	0	19.12265512265512	97.95420688684221	MYLK2;MYLK3
5'-Flap Endonuclease Activity (GO:0017108)	1/5	0.024998564628756072	0.206418682124669	0	0	49.7375	183.4784976020638	SLX1A
Myosin Light Chain Binding (GO:0032027)	1/5	0.024998564628756072	0.206418682124669	0	0	49.7375	183.4784976020638	MYLK2
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	4/224	0.026927663069675426	0.206418682124669	0	0	3.688659793814433	13.333033946988433	PER1;JUN;ARID5A;ATF3
E-box Binding (GO:0070888)	2/51	0.027421242200988235	0.206418682124669	0	0	8.18387961245104	29.43280992262017	PER1;BHLHE40
