Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Voltage-Gated Calcium Channel Activity (GO:0005245)	2/47	0.002107492123229204	0.10958959040791862	0	0	32.8	202.12201666336142	SCN4A;CACNA2D4
Apolipoprotein Receptor Binding (GO:0034190)	1/5	0.007229641611706164	0.1332766175776403	0	0	178.27678571428572	878.8271482248972	PCSK9
Sodium Channel Inhibitor Activity (GO:0019871)	1/7	0.01010736011907222	0.1332766175776403	0	0	118.83928571428571	546.0060757050519	PCSK9
Prostaglandin Transmembrane Transporter Activity (GO:0015132)	1/11	0.01583866177167553	0.1332766175776403	0	0	71.28928571428571	295.5155744703354	SLCO2A1
Sodium-Independent Organic Anion Transmembrane Transporter Activity (GO:0015347)	1/15	0.02153792376580922	0.1332766175776403	0	0	50.910714285714285	195.39226686727991	SLCO2A1
Low-Density Lipoprotein Particle Binding (GO:0030169)	1/16	0.022957753046661738	0.1332766175776403	0	0	47.51428571428571	179.32364557493287	PCSK9
Voltage-Gated Sodium Channel Activity (GO:0005248)	1/19	0.027205316711375317	0.1332766175776403	0	0	39.589285714285715	142.69335919589085	SCN4A
Low-Density Lipoprotein Particle Receptor Binding (GO:0050750)	1/22	0.031435050111481094	0.1332766175776403	0	0	33.92857142857143	117.38714910240454	PCSK9
Semaphorin Receptor Binding (GO:0030215)	1/22	0.031435050111481094	0.1332766175776403	0	0	33.92857142857143	117.38714910240454	SEMA3F
Lipoprotein Particle Binding (GO:0071813)	1/23	0.03284101139028785	0.1332766175776403	0	0	32.38474025974026	110.62877274373585	PCSK9
High Voltage-Gated Calcium Channel Activity (GO:0008331)	1/23	0.03284101139028785	0.1332766175776403	0	0	32.38474025974026	110.62877274373585	SCN4A
Chemorepellent Activity (GO:0045499)	1/24	0.03424500218236718	0.1332766175776403	0	0	30.975155279503106	104.51682262493934	SEMA3F
Neuropeptide Activity (GO:0160041)	1/26	0.03704708290694648	0.1332766175776403	0	0	28.494285714285713	93.90478962861957	CORT
Neuropeptide Hormone Activity (GO:0005184)	1/26	0.03704708290694648	0.1332766175776403	0	0	28.494285714285713	93.90478962861957	CORT
Lipoprotein Particle Receptor Binding (GO:0070325)	1/27	0.038445178147396245	0.1332766175776403	0	0	27.396978021978022	89.27365552728025	PCSK9
Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028)	1/32	0.045406308879754595	0.14317219475148782	0	0	22.972350230414747	71.03290112478346	SLC16A4
Sodium Channel Regulator Activity (GO:0017080)	1/34	0.048177115857800386	0.14317219475148782	0	0	21.57792207792208	65.4430572478459	PCSK9
Ion Channel Inhibitor Activity (GO:0008200)	1/35	0.049559605875515014	0.14317219475148782	0	0	20.942226890756302	62.922578788316876	PCSK9
Sodium Channel Activity (GO:0005272)	1/37	0.05231877207461841	0.14318821830948197	0	0	19.776785714285715	58.349429394744604	SCN4A
Transcription Corepressor Binding (GO:0001222)	1/42	0.05918289553667527	0.1538755283953557	0	0	17.360627177700348	49.080623277270966	PER1
E-box Binding (GO:0070888)	1/51	0.07141754026053976	0.17572161319581697	0	0	14.229285714285714	37.55409844816487	PER1
Receptor Tyrosine Kinase Binding (GO:0030971)	1/59	0.08216370397968167	0.17572161319581697	0	0	12.261699507389162	30.642497546322605	GRB14
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	1/59	0.08216370397968167	0.17572161319581697	0	0	12.261699507389162	30.642497546322605	SLC16A4
Secondary Active Transmembrane Transporter Activity (GO:0015291)	1/60	0.08349850182084043	0.17572161319581697	0	0	12.053268765133172	29.927381507961847	SLCO2A1
Endopeptidase Activity (GO:0004175)	2/335	0.08448154480568124	0.17572161319581697	0	0	4.368368368368368	10.795208772352149	USP6;PCSK9
Hormone Activity (GO:0005179)	1/74	0.10199001835081806	0.20145585352587492	0	0	9.734833659491194	22.22346027505055	CORT
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843)	1/76	0.10460207779228121	0.20145585352587492	0	0	9.474285714285715	21.389070339886597	CACNA2D4
Chromatin DNA Binding (GO:0031490)	1/83	0.11368664155978721	0.20847668420153687	0	0	8.662456445993032	18.834860248996137	PER1
Protein Tyrosine Kinase Binding (GO:1990782)	1/85	0.11626584311239556	0.20847668420153687	0	0	8.455357142857142	18.19487976015863	GRB14
Calcium Channel Activity (GO:0005262)	1/91	0.12396004159117383	0.21486407209136796	0	0	7.889285714285714	16.47121924030951	CACNA2D4
Cysteine-Type Deubiquitinase Activity (GO:0004843)	1/98	0.13285487170278507	0.2179424351829038	0	0	7.317378497790869	14.770113400183961	USP6
Transcription Coregulator Binding (GO:0001221)	1/99	0.13411842165101773	0.2179424351829038	0	0	7.24234693877551	14.550107665019139	PER1
Cysteine-Type Endopeptidase Activity (GO:0004197)	1/106	0.14291362869041419	0.22519723308792539	0	0	6.757142857142857	13.146121612489974	USP6
Deubiquitinase Activity (GO:0101005)	1/113	0.1516225488163737	0.23189330995445387	0	0	6.332589285714286	11.945549951152008	USP6
Serine-Type Endopeptidase Activity (GO:0004252)	1/125	0.16635372520218772	0.2471541060146789	0	0	5.716301843317972	10.25298125318036	PCSK9
G Protein-Coupled Receptor Binding (GO:0001664)	1/140	0.18442065498242222	0.25887007930187317	0	0	5.095580678314492	8.614262385477609	CORT
Serine-Type Peptidase Activity (GO:0008236)	1/142	0.1868008255388087	0.25887007930187317	0	0	5.022796352583587	8.42680739101831	PCSK9
Cysteine-Type Peptidase Activity (GO:0008234)	1/144	0.18917428872059963	0.25887007930187317	0	0	4.952047952047952	8.245588322597563	USP6
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067)	1/224	0.27881677497641566	0.3717556999685542	0	0	3.162716207559257	4.039422511049997	PER1
Ubiquitin Protein Ligase Binding (GO:0031625)	1/271	0.32693599670599655	0.42501679571779555	0	0	2.605952380952381	2.913430932998247	PER1
Ubiquitin-Like Protein Ligase Binding (GO:0044389)	1/289	0.3445309614130708	0.4369660974019435	0	0	2.4408482142857144	2.6008978513926873	PER1
Receptor Ligand Activity (GO:0048018)	1/319	0.3728734829799256	0.46165288368943175	0	0	2.207210242587601	2.1774484505438254	SEMA3F
Zinc Ion Binding (GO:0008270)	1/341	0.3929020974919137	0.4751374202227793	0	0	2.062079831932773	1.9263842849301682	HHIP
Transition Metal Ion Binding (GO:0046914)	1/456	0.48794694602699334	0.5668655526456989	0	0	1.531868131868132	1.0991898275807903	HHIP
Kinase Binding (GO:0019900)	1/460	0.4909796152338561	0.5668655526456989	0	0	1.5182072829131652	1.0799808026206021	PER1
Transcription Cis-Regulatory Region Binding (GO:0000976)	1/474	0.5014579888788876	0.5668655526456989	0	0	1.472213832678949	1.0161741714338532	PER1
Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	1/715	0.6523248497167735	0.7217211103249409	0	0	0.9632352941176471	0.4115062595860596	PER1
DNA Binding (GO:0003677)	1/846	0.7147229889086668	0.774283237984389	0	0	0.8083685545224006	0.27149885629184894	PER1
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1/1098	0.8057571884102426	0.8453004188783516	0	0	0.614468029691366	0.13270840357896457	PER1
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1/1122	0.8127888643061073	0.8453004188783516	0	0	0.600547980119791	0.12448392905535036	PER1
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	1/1225	0.8402738707877995	0.8567498290385406	0	0	0.5470063025210085	0.09519408659754361	PER1
RNA Binding (GO:0003723)	1/1411	0.8803563135430239	0.8803563135430239	0	0	0.47013677811550153	0.059908848739473816	PCSK9
